../test/testdata/test_tmp
Epoch:0, train loss:3.275077932021197, train accuracy:1.168384879725086, validation loss:3.2712650299072266, validation accuracy:3.0, loss diff:0.003812902113970562
Epoch:1, train loss:3.2619316577911377, train accuracy:3.917525773195876, validation loss:3.2700115442276, validation accuracy:4.0, loss diff:0.008079886436462402
Epoch:2, train loss:3.26241958842558, train accuracy:2.88659793814433, validation loss:3.2755273580551147, validation accuracy:2.0, loss diff:0.013107769629534527
Epoch:3, train loss:3.2621725587283863, train accuracy:3.3676975945017182, validation loss:3.269231915473938, validation accuracy:4.0, loss diff:0.007059356745551693
Epoch:4, train loss:3.2609507897320915, train accuracy:2.88659793814433, validation loss:3.27398419380188, validation accuracy:2.0, loss diff:0.013033404069788368
Epoch:5, train loss:3.2556287821601417, train accuracy:4.948453608247423, validation loss:3.259351134300232, validation accuracy:7.0, loss diff:0.0037223521400902015
Epoch:6, train loss:3.231669734506046, train accuracy:7.972508591065292, validation loss:3.2622064352035522, validation accuracy:8.0, loss diff:0.030536700697506358
Epoch:7, train loss:3.2042197900659897, train accuracy:8.041237113402062, validation loss:3.2563573122024536, validation accuracy:13.0, loss diff:0.05213752213646394
Epoch:8, train loss:3.169269589816823, train accuracy:9.278350515463918, validation loss:3.246058940887451, validation accuracy:9.0, loss diff:0.07678935107062834
Epoch:9, train loss:3.128729651955997, train accuracy:11.40893470790378, validation loss:3.136041522026062, validation accuracy:14.0, loss diff:0.007311870070064952
Epoch:10, train loss:3.0683953481561996, train accuracy:14.43298969072165, validation loss:3.2340922355651855, validation accuracy:13.0, loss diff:0.16569688740898592
Epoch:11, train loss:2.971632529707516, train accuracy:17.11340206185567, validation loss:3.254229426383972, validation accuracy:15.0, loss diff:0.28259689667645604
Epoch:12, train loss:2.995978257235359, train accuracy:18.487972508591064, validation loss:3.225707769393921, validation accuracy:15.0, loss diff:0.22972951215856208
Epoch:13, train loss:2.933596498825971, train accuracy:21.168384879725085, validation loss:3.1895668506622314, validation accuracy:15.0, loss diff:0.2559703518362606
Epoch:14, train loss:2.7800136734457577, train accuracy:23.50515463917526, validation loss:3.265441417694092, validation accuracy:21.0, loss diff:0.4854277442483341
Epoch:15, train loss:2.8291368764989517, train accuracy:24.261168384879724, validation loss:3.094474196434021, validation accuracy:23.0, loss diff:0.26533731993506926
Epoch:16, train loss:2.7987207454793595, train accuracy:24.192439862542955, validation loss:3.136451244354248, validation accuracy:21.0, loss diff:0.3377304988748886
Epoch:17, train loss:2.7451105328167187, train accuracy:25.9106529209622, validation loss:3.105442762374878, validation accuracy:21.0, loss diff:0.36033222955815924
Epoch:18, train loss:2.690932077520034, train accuracy:28.24742268041237, validation loss:2.8895938396453857, validation accuracy:27.0, loss diff:0.1986617621253517
Epoch:19, train loss:2.6463548365761254, train accuracy:28.65979381443299, validation loss:3.2089585065841675, validation accuracy:20.0, loss diff:0.5626036700080421
Epoch:20, train loss:2.682010566487032, train accuracy:27.972508591065292, validation loss:3.1167408227920532, validation accuracy:19.0, loss diff:0.43473025630502127
Epoch:21, train loss:2.6308251058354095, train accuracy:28.31615120274914, validation loss:2.9390698671340942, validation accuracy:27.0, loss diff:0.3082447612986847
Epoch:22, train loss:2.6512417793273926, train accuracy:29.828178694158076, validation loss:3.0391926765441895, validation accuracy:21.0, loss diff:0.3879508972167969
