Test data preparation phase
Validation data preparation phase
Train data preparation phase
../test/testdata/test_tmp
Epoch:0, train loss:3.2610706772123064, train accuracy:3.9312039312039313, validation loss:3.262358852795192, validation accuracy:4.5, loss diff:0.0012881755828857422
Epoch:1, train loss:3.2606964877673557, train accuracy:3.0712530712530715, validation loss:3.263954997062683, validation accuracy:1.5, loss diff:0.0032585092953274497
Epoch:2, train loss:3.2588931151798795, train accuracy:4.176904176904177, validation loss:3.2589084931782315, validation accuracy:4.5, loss diff:1.537799835205078e-05
Epoch:3, train loss:3.2592800089291165, train accuracy:4.054054054054054, validation loss:3.261032768658229, validation accuracy:2.25, loss diff:0.0017527597291127073
Epoch:4, train loss:3.25898391859872, train accuracy:3.5626535626535625, validation loss:3.2613834142684937, validation accuracy:4.5, loss diff:0.00239949566977371
Epoch:5, train loss:3.2596776144845143, train accuracy:3.6855036855036856, validation loss:3.263108798435756, validation accuracy:3.25, loss diff:0.0034311839512417563
Epoch:6, train loss:3.2598090256963457, train accuracy:3.6855036855036856, validation loss:3.262796776635306, validation accuracy:3.0, loss diff:0.0029877509389604207
Epoch:7, train loss:3.2618114267076765, train accuracy:3.194103194103194, validation loss:3.261106388909476, validation accuracy:4.5, loss diff:0.0007050377982005251
Epoch:8, train loss:3.259308968271528, train accuracy:4.422604422604422, validation loss:3.2604191303253174, validation accuracy:4.25, loss diff:0.001110162053789221
Epoch:9, train loss:3.2589985813413347, train accuracy:3.9312039312039313, validation loss:3.26103561265128, validation accuracy:3.25, loss diff:0.0020370313099453696
Epoch:10, train loss:3.25982780115945, train accuracy:3.9312039312039313, validation loss:3.2607301473617554, validation accuracy:3.0, loss diff:0.0009023462023054485
Epoch:11, train loss:3.2594104749815807, train accuracy:3.5626535626535625, validation loss:3.261247685977391, validation accuracy:4.0, loss diff:0.0018372109958102456
Epoch:12, train loss:3.25790502343859, train accuracy:4.054054054054054, validation loss:3.2621496404920305, validation accuracy:5.0, loss diff:0.004244617053440702
Epoch:13, train loss:3.2600997345788136, train accuracy:3.3169533169533167, validation loss:3.259044442858015, validation accuracy:5.0, loss diff:0.0010552917207986567
Epoch:14, train loss:3.258329084941319, train accuracy:5.15970515970516, validation loss:3.2606370619365146, validation accuracy:3.5, loss diff:0.002307976995195471
Epoch:15, train loss:3.259290942123958, train accuracy:4.2997542997543, validation loss:3.26088239465441, validation accuracy:3.25, loss diff:0.0015914525304521199
Epoch:16, train loss:3.2599066155297414, train accuracy:3.3169533169533167, validation loss:3.2618022986820767, validation accuracy:3.5, loss diff:0.001895683152335348
Epoch:17, train loss:3.2585145575659618, train accuracy:4.2997542997543, validation loss:3.2610634735652377, validation accuracy:4.0, loss diff:0.0025489159992759802
Epoch:18, train loss:3.2557971477508545, train accuracy:5.15970515970516, validation loss:3.2607701335634505, validation accuracy:4.25, loss diff:0.004972985812595976
Epoch:19, train loss:3.2587263924734935, train accuracy:4.2997542997543, validation loss:3.2595554249627248, validation accuracy:4.5, loss diff:0.0008290324892312739
